Testo,Categoria
Creerò una criptovaluta,Soldi
Investirò in una criptovaluta tutti i soldi dei miei genitori,Soldi
Rapinerò due banche,Soldi
Aprirò un business di clonazione bancomat e carte di credito,Soldi
Aprirò un conto in un paradiso fiscale,Soldi
Farò la spesa rovistando tra i rifiuti,Soldi
Acquisterò una magione con vista su un lago svizzero e la affitterò ai russi,Soldi
Organizzerò un traffico internazionale di forcine,Soldi
Diventerò pilota di aeroplani,Soldi
Diventerò tassista a New York,Soldi
Inizierò a raccattare monete ai distributori automatici delle stazioni,Soldi
Emigrerò a fare il lavapiatti a Londra,Soldi
Cercherò di far fruttare la Brexit,Soldi
Non comprerò più sigarette, le scroccherò,Soldi
È arrivato il momento di fare lo Youtuber,Soldi
Proverò a imparare l'arte di fare i pacchi,Soldi
Diventerò un asso del poker ,Soldi
Giocherò più spesso al SuperEnalotto, obiettivo: sistemone,Soldi
Acquisterò un biglietto della lotteria di Capodanno,Soldi
Andrò a giocare alle corse dei cavalli,Soldi
A quanto son dati i reni al mercato nero?,Soldi
Farò un'assicurazione sulla salute sperando di farmi male per riscuotere il premio,Soldi
Andrò a fare il cercatore d'oro nelle miniere del Klondike,Soldi
Venderò cd piratati di Anna Oxa al mercatino rionale,Soldi
Mi evolverò in un arrotino,Soldi
Non acquisterò più 10 euro a settimana in goleador,Soldi
Raccoglierò tutte le monete da 1 centesimo che vedrò per terra,Soldi
Aprirò uno studio fotografico per gli hipster,Soldi
Farò il bagarino ai concerti di Fedez,Soldi
Proverò a diventare Fashion Blogger,Soldi
Creerò un paradiso fiscale per attirare Amazon e poi distruggerla per salvare il mondo,Soldi
Mi farò investire dalle auto per poi fargli causa (se sopravvivo),Soldi
Aprirò un fake taxi ma mi farò pagare veramente,Soldi
Diventerò cantante di trap ,Soldi
Creerò una piattaforma per il gioco d'azzardo in acque internazionali,Soldi
Proverò a vendere la mia biancheria intima,Soldi
Smetterò di bestemmiare di fronte ai miei amici credenti,Amici
Io e il parroco diventeremo amici,Amici
Inizierò ad uscire con i colleghi, basta scuse,Amici
È arrivato il momento dei balli di gruppo,Amici
Brucerò il mio divano e la copertina netflix... Si esce!,Amici
Eliminerò la mia data di nascita da Facebook per vedere realmente chi si ricorda del mio compleanno,Amici
Iscriverò i miei amici a Uomini e Donne,Amici
Inizierò a frequentare i gabinetti di lettura,Amici
Offrirò consulenza gratutita su come gestire un profilo Tinder,Amici
Proporrò ai miei amici di guardare i film belli tipo la corazzata Potëmkin,Amici
Non ci picchieremo più durante il Monopoli, promesso!,Amici
Aprirò ai Testimoni di Geova,Amici
Aprirò ai venditori del Folletto,Amici
Ai genitori dirò la verità quando mi faranno vedere i loro neonati,Amici
Quando usciremo la sera, guiderò sempre io,Amici
Mi sbronzerò anche per voi, cari amici,Amici
Chiamerò fra tutti i miei amici,Amici
La gang non s'infama,Amici
Sistemerò tutta la rubrica del mio smartphone,Amici
Smetterò di regalare gli smartbox,Amici
Non obietterò sulle decisioni che riguardano le vacanze,Amici
Smetterò di parlare con il mio cane e proverò a parlare con le persone vere,Amici
Farò una pulizia contatti per eliminare tutte le persone false,Amici
Dirò a tutti che Babbo Natale non esiste,Amici
Dirò ai figli dei miei amici che Babbo Natale esiste,Amici
Entrerò in una setta psicoreligiosa,Amici
Inizierò a frequentare la parrocchia ,Amici
Mi iscriverò alle scuole serali ,Amici
Manderò un messaggio a tutti i contatti della rubrica di cui non ricordo la faccia,Amici
Rintraccerò tutte le persone che ho come amici su Facebook,Amici
Io, speriamo che me la cavo,Motto
La risposta è 42,Motto
Non può piovere per sempre,Motto
Quello che facciamo tutte le sere Mignolo, cercare di conquistare il mondo!,Motto
Pura vida!,Motto
Nel 2020 le macchine dovevano volare, dicevano,Motto
Impiccatevi tutti, grazie :heart:,Motto
Gli animali sono meglio delle persone,Motto
Fatto il '19, facciamo anche questo '20,Motto
Il momento è adesso,Motto
Fanculo alla maggioranza,Motto
Se una cosa può andare male, andrà peggio,Motto
Siamo tutti schiavi del proprio postino,Motto
Il futuro è di chi non ha un passato,Motto
Io della vita non ho capito un cazzo,Motto
Unicorni e potere,Motto
Ho amato Schifomadò, non potrò amare un baby yoda qualunque,Motto
Fare o non fare, non c'è provare,Motto
Io faccio come Baglioni...,Motto
Al mondo ci sono due tipi di persone, io e voi.,Motto
Le cose si fanno in numero dispari e in 3 si è già in troppi,Motto
Quest'anno sarò... Devastante!,Motto
Quest'anno sarà tutto pazzesco!,Motto
Non è tanto il freddo, è l'umidità che ti ammazza,Motto
L'amore è più bello quando è litigarello,Motto
Tachipirina 500 se ne prendi 2 diventa 1000,Motto
Com'è bello far l'amore da Trieste in giù,Motto
Emanciparsi dal vincolo delle passioni ,Motto
Fare come l'eremita che rinuncia a sè,Motto
A facc' ro cazz',Motto
Sarà bello, bellissimo, travolgente,Motto
Quegli operai dovrebbero lavorare meglio su quel pilone...,Motto
Ok Boomer!,Motto
Mi farò crescere le branchie,Salute
Smetterò di fumare... sigarette,Salute
Smetterò di fumare... quelle elettriche,Salute
Punto al trapianto di fegato,Salute
Darà dei soldi a qualche palestra per pulirmi la coscenza,Salute
Smetterò di cercare le diagnosi su Google,Salute
Mi convicerò che il salmone fa ingrassare,Salute
Smetterò di bere le bevande al gusto di thé delle macchinette automatiche,Salute
Dirò addio alla Nutella... credo,Salute
Mi misurerò la pressione ogni settimana,Salute
Cercherò di rivendere tutte le scorte di OKI accumulate fino ad oggi,Salute
Dirò addio al botulino,Salute
Mi tatuerò Ma posso comunque dire che la droga fa male?,Salute
Boicotterò tutti i fast food,Salute
Farò analizzare la composizione molecolare del Kebab e renderò pubblici i risultati,Salute
Berrò solo birre analcoliche,Salute
Diventerò un Guru analcolico,Salute
Mi evolverò in un essere astemio,Salute
Cercherò di prendere il sole sola a partire dalle 16.00,Salute
Dirò basta ai bagni dopo aver mangiato,Salute
Smetterò di mettere la maionese nell'insalata,Salute
Mangerò solo pandoro integrale ,Salute
Mangerò solo panettone biologico,Salute
Smetterò di guardare le serie TV per 12 ore consecutive,Salute
Smetterò di guardare i telegiornali della Sera,Salute
Smetterò di prendere due tachipirine 500 solo per fare 1000 come la canzone,Salute
Non farò brillare tutti insieme i petardi rimasti da capodanno,Salute
Andrò dal medico sperando che il Servizio Sanitario Nazionale mi riconosca ancora,Salute
Andrò a conoscere il nuovo medico di base,Salute
Mi farò le analisi,Salute
Non farò più gare di grappa con gli anziani al circolino ,Salute
Smetterò di farmi le diagnosi su Internet,Salute
